customer_id,recency_days,frequency,monetary,R,F,M,segment
12432,43,4,4359.32,4,3,5,Loyal
12433,1,10,16794.14,5,5,5,Champions
12434,85,3,1080.28,3,3,3,Loyal
12435,80,6,13925.93,3,4,5,Loyal
12436,100,1,429.01000000000005,3,1,2,Hibernating
12437,2,38,11128.4,5,5,5,Champions
12438,14,2,2466.85,5,2,4,Big spenders
12439,683,2,1089.18,1,2,3,Hibernating
12440,462,2,648.15,1,2,3,Hibernating
12441,367,1,155.55,2,1,1,Hibernating
12442,3,1,144.06,5,1,1,Promising
12443,732,1,365.31,1,1,2,Hibernating
12444,21,5,4085.46,4,4,5,Champions
12445,22,2,378.98,4,2,2,Promising
12446,58,1,1002.3100000000001,4,1,3,Promising
12447,243,1,431.49,2,1,2,Hibernating
12448,44,1,365.45,4,1,2,Promising
12449,22,5,4274.89,4,4,5,Champions
12450,156,5,673.35,3,4,3,Loyal
12451,11,8,12527.88,5,4,5,Champions
12452,17,1,348.57,5,1,2,Promising
12453,134,1,707.09,3,1,3,Hibernating
12454,396,1,4098.96,2,1,5,Big spenders
12455,73,9,5722.95,3,5,5,Loyal
12456,44,3,2581.04,4,3,4,Loyal
12457,66,5,2180.56,3,4,4,Loyal
12458,71,4,1502.49,3,3,4,Loyal
12459,605,1,398.36,1,1,2,Hibernating
12460,456,1,296.65,1,1,2,Hibernating
12461,155,1,626.88,3,1,3,Hibernating
12462,19,2,937.59,5,2,3,Promising
12463,53,4,1180.98,4,3,3,Loyal
12464,10,8,957.05,5,4,3,Champions
12465,17,2,682.1899999999999,5,2,3,Promising
12468,188,5,3238.74,2,4,5,Big spenders
12469,523,2,3070.54,1,2,5,Hibernating
12470,690,1,211.95,1,1,1,Hibernating
12471,2,71,34839.55,5,5,5,Champions
12472,32,19,14837.44,4,5,5,Champions
12473,54,3,2554.5299999999997,4,3,4,Loyal
12474,17,29,11093.62,5,5,5,Champions
12475,54,2,1065.64,4,2,3,Promising
12476,16,17,12166.11,5,5,5,Champions
12477,23,9,20188.170000000002,4,5,5,Champions
12478,4,1,545.99,5,1,2,Promising
12479,11,1,453.2,5,1,2,Promising
12480,28,7,4820.0,4,4,5,Champions
12481,23,14,10915.61,4,5,5,Champions
12482,576,27,21941.72,1,5,5,At risk
12483,17,18,4037.28,5,5,5,Champions
12484,35,9,5544.35,4,5,5,Champions
12485,529,1,708.1,1,1,3,Hibernating
12486,432,1,917.28,1,1,3,Hibernating
12487,731,1,285.29999999999995,1,1,2,Hibernating
12488,10,3,1244.66,5,3,4,Loyal
12489,336,1,298.93,2,1,2,Hibernating
12490,5,20,8764.64,5,5,5,Champions
12491,39,1,424.40000000000003,4,1,2,Promising
12492,63,3,607.21,3,3,3,Loyal
12493,166,2,362.79,3,2,2,Hibernating
12494,16,8,1489.67,5,4,4,Champions
12495,641,1,243.4,1,1,1,Hibernating
12496,620,2,45.34,1,2,1,Hibernating
12497,82,3,5996.5,3,3,5,Loyal
12498,21,3,349.70000000000005,4,3,2,Loyal
12499,560,1,357.72,1,1,2,Hibernating
12500,23,18,5545.21,4,5,5,Champions
12501,337,1,1995.39,2,1,4,Big spenders
12502,96,5,2995.87,3,4,5,Loyal
12503,584,1,896.0,1,1,3,Hibernating
12504,30,3,321.0,4,3,2,Loyal
12505,409,1,767.3,1,1,3,Hibernating
12506,233,1,73.5,2,1,1,Hibernating
12507,134,3,1461.31,3,3,4,Loyal
12508,26,2,397.88,4,2,2,Promising
12509,284,1,158.5,2,1,1,Hibernating
12510,143,7,3006.03,3,4,5,Loyal
12511,429,1,3074.07,1,1,5,Hibernating
12512,66,2,132.18,3,2,1,Hibernating
12513,113,1,532.79,3,1,2,Hibernating
12514,267,2,1597.76,2,2,4,Big spenders
12515,353,1,278.7,2,1,1,Hibernating
12516,78,4,2288.62,3,3,4,Loyal
12517,28,4,2281.8,4,3,4,Loyal
12518,1,5,1840.89,5,4,4,Champions
12519,64,2,596.84,3,2,3,Hibernating
12520,79,5,2294.51,3,4,4,Loyal
12521,143,1,545.68,3,1,2,Hibernating
12522,39,2,156.72,4,2,1,Promising
12523,19,23,3915.0,5,5,5,Champions
12524,9,17,9759.36,5,5,5,Champions
12525,498,3,818.08,1,3,3,At risk
12526,1,3,1172.66,5,3,3,Loyal
12527,82,5,717.51,3,4,3,Loyal
12528,9,6,1645.48,5,4,4,Champions
12529,528,1,316.48,1,1,2,Hibernating
12530,60,9,3329.86,3,5,5,Loyal
12531,15,2,1756.35,5,2,4,Big spenders
12532,30,1,313.83000000000004,4,1,2,Promising
12533,628,2,1075.24,1,2,3,Hibernating
12534,131,1,981.18,3,1,3,Hibernating
12535,92,2,716.35,3,2,3,Hibernating
12536,59,1,4163.98,4,1,5,Big spenders
12537,409,1,612.94,1,1,3,Hibernating
12538,29,2,640.45,4,2,3,Promising
12539,22,7,11186.75,4,4,5,Champions
12540,20,32,19172.04,4,5,5,Champions
12541,30,3,841.18,4,3,3,Loyal
12542,484,2,443.33,1,2,2,Hibernating
12543,448,1,840.25,1,1,3,Hibernating
12544,36,1,316.7,4,1,2,Promising
12545,75,2,832.39,3,2,3,Hibernating
12546,47,2,1001.5,4,2,3,Promising
12547,198,3,299.58,2,3,2,At risk
12548,166,1,67.19999999999999,3,1,1,Hibernating
12549,576,5,1570.68,1,4,4,At risk
12550,79,1,824.83,3,1,3,Hibernating
12551,358,1,168.0,2,1,1,Hibernating
12552,40,1,317.82,4,1,2,Promising
12553,8,12,4048.55,5,5,5,Champions
12554,449,1,384.5,1,1,2,Hibernating
12556,50,2,599.56,4,2,3,Promising
12557,16,8,18096.14,5,4,5,Champions
12559,311,2,500.21000000000004,2,2,2,Hibernating
12560,5,2,1918.01,5,2,4,Big spenders
12561,303,1,238.85,2,1,1,Hibernating
12562,8,9,4426.92,5,5,5,Champions
12563,409,1,221.24,1,1,1,Hibernating
12564,261,1,402.9,2,1,2,Hibernating
12565,289,1,145.92,2,1,1,Hibernating
12566,86,1,297.65,3,1,2,Hibernating
12567,23,15,10425.44,4,5,5,Champions
12568,645,1,52.0,1,1,1,Hibernating
12569,2,32,3152.69,5,5,5,Champions
12571,40,2,519.61,4,2,2,Promising
12572,9,2,912.42,5,2,3,Promising
12573,227,5,717.41,2,4,3,At risk
12574,316,1,182.45000000000002,2,1,1,Hibernating
12575,457,2,568.8199999999999,1,2,2,Hibernating
12576,36,8,2020.22,4,4,4,Champions
12577,35,8,1613.15,4,4,4,Champions
12578,21,4,4026.4500000000003,4,3,5,Loyal
12579,78,1,374.72,3,1,2,Hibernating
12580,247,2,962.9,2,2,3,Hibernating
12581,40,1,179.71,4,1,1,Promising
12582,239,4,1820.4,2,3,4,Big spenders
12583,3,27,12432.74,5,5,5,Champions
12584,4,8,2041.2,5,4,4,Champions
12585,234,2,1824.1,2,2,4,Big spenders
12586,17,4,2045.67,5,3,4,Loyal
12587,8,1,104.0,5,1,1,Promising
12588,39,3,703.93,4,3,3,Loyal
12589,29,6,2753.62,4,4,4,Champions
12590,211,1,9341.26,2,1,5,Big spenders
12591,317,3,1114.95,2,3,3,At risk
12592,92,4,1723.6399999999999,3,3,4,Loyal
12593,109,3,382.09999999999997,3,3,2,Loyal
12594,38,14,4862.51,4,5,5,Champions
12595,505,1,281.02,1,1,1,Hibernating
12596,51,2,450.27,4,2,2,Promising
12597,19,4,3096.22,5,3,5,Loyal
12598,10,10,4151.37,5,5,5,Champions
12599,29,13,2026.72,4,5,4,Champions
12600,29,20,4385.85,4,5,5,Champions
12601,190,6,573.26,2,4,2,At risk
12602,59,1,153.12,4,1,1,Promising
12603,22,1,613.1999999999999,4,1,3,Promising
12604,79,2,236.18,3,2,1,Hibernating
12605,376,3,1124.95,2,3,3,At risk
12608,405,1,415.79,2,1,2,Hibernating
12609,78,9,3021.86,3,5,5,Loyal
12610,23,4,1714.24,4,3,4,Loyal
12611,52,1,1193.32,4,1,3,Promising
12612,74,1,668.0400000000001,3,1,3,Hibernating
12613,57,9,6145.82,4,5,5,Champions
12614,278,1,315.6,2,1,2,Hibernating
12615,2,8,5227.63,5,4,5,Champions
12616,95,3,993.4,3,3,3,Loyal
12617,29,1,352.98,4,1,2,Promising
12618,22,1,137.31,4,1,1,Promising
12619,16,9,3052.7,5,5,5,Champions
12620,15,3,1303.41,5,3,4,Loyal
12621,2,35,21967.95,5,5,5,Champions
12622,232,1,162.1,2,1,1,Hibernating
12623,276,7,3315.84,2,4,5,Big spenders
12624,106,2,569.13,3,2,2,Hibernating
12625,212,4,4639.28,2,3,5,Big spenders
12626,23,9,5772.69,4,5,5,Champions
12627,11,6,4082.53,5,4,5,Champions
12628,4,3,732.46,5,3,3,Loyal
12629,386,2,1198.22,2,2,4,Big spenders
12630,10,2,1030.88,5,2,3,Promising
12631,57,6,3299.07,4,4,5,Champions
12632,521,2,684.88,1,2,3,Hibernating
12633,59,7,5092.91,4,4,5,Champions
12634,548,1,360.0,1,1,2,Hibernating
12635,90,4,2624.41,3,3,4,Loyal
12637,67,12,8085.8099999999995,3,5,5,Loyal
12638,33,2,681.49,4,2,3,Promising
12639,239,3,1072.37,2,3,3,At risk
12640,24,3,994.58,4,3,3,Loyal
12641,115,1,145.9,3,1,1,Hibernating
12642,25,3,905.26,4,3,3,Loyal
12643,128,11,7347.82,3,5,5,Loyal
12644,130,4,1838.94,3,3,4,Loyal
12645,34,8,3185.3,4,4,5,Champions
12646,5,2,1346.97,5,2,4,Big spenders
12647,22,34,14014.25,4,5,5,Champions
12648,155,4,1039.0,3,3,3,Loyal
12649,107,8,2076.85,3,4,4,Loyal
12650,3,1,242.44000000000003,5,1,1,Promising
12651,335,4,377.75,2,3,2,At risk
12652,331,2,891.03,2,2,3,Hibernating
12653,149,3,4160.83,3,3,5,Loyal
12654,11,5,529.98,5,4,2,Champions
12655,424,1,243.35000000000002,1,1,1,Hibernating
12656,17,8,5708.98,5,4,5,Champions
12657,11,4,1008.0600000000001,5,3,3,Loyal
12658,19,1,632.05,5,1,3,Promising
12659,30,1,73.68,4,1,1,Promising
12660,11,1,227.1,5,1,1,Promising
12661,436,1,162.0,1,1,1,Hibernating
12662,1,20,6097.84,5,5,5,Champions
12663,625,2,150.0,1,2,1,Hibernating
12664,8,11,5420.04,5,5,5,Champions
12665,325,3,259.6,2,3,1,At risk
12666,394,1,1020.98,2,1,3,Hibernating
12667,58,1,460.13,4,1,2,Promising
12668,12,9,9871.23,5,5,5,Champions
12669,151,2,1427.73,3,2,4,Big spenders
12670,10,7,3436.29,5,4,5,Champions
12671,606,1,2622.48,1,1,4,Hibernating
12672,330,2,389.2,2,2,2,Hibernating
12673,5,3,1140.02,5,3,3,Loyal
12674,39,4,1814.6,4,3,4,Loyal
12675,554,2,860.5,1,2,3,Hibernating
12676,25,10,2333.09,4,5,4,Champions
12677,555,2,359.1,1,2,2,Hibernating
12678,42,15,32442.18,4,5,5,Champions
12679,59,4,935.4200000000001,4,3,3,Loyal
12680,1,4,790.81,5,3,3,Loyal
12681,15,44,26891.16,5,5,5,Champions
12682,4,51,20736.22,5,5,5,Champions
12683,4,20,10368.72,5,5,5,Champions
12684,8,6,2073.63,5,4,4,Champions
12685,28,6,2575.08,4,4,4,Champions
12686,372,1,71.14,2,1,1,Hibernating
12687,481,1,1858.91,1,1,4,Hibernating
12688,114,1,4873.8099999999995,3,1,5,Big spenders
12689,26,2,1139.61,4,2,3,Promising
12690,206,1,335.01,2,1,2,Hibernating
12691,28,6,1044.4,4,4,3,Champions
12692,637,1,110.95,1,1,1,Hibernating
12693,127,7,1377.3700000000001,3,4,4,Loyal
12694,70,3,1663.35,3,3,4,Loyal
12695,7,7,1371.1200000000001,5,4,4,Champions
12696,435,2,731.91,1,2,3,Hibernating
12697,29,3,757.59,4,3,3,Loyal
12698,590,1,285.75,1,1,2,Hibernating
12699,418,1,566.11,1,1,2,Hibernating
12700,8,4,4525.99,5,3,5,Loyal
12701,80,6,2248.41,3,4,4,Loyal
12702,20,1,201.0,4,1,1,Promising
12703,71,4,813.58,3,3,3,Loyal
12704,7,8,1740.84,5,4,4,Champions
12705,15,13,11034.55,5,5,5,Champions
12707,292,1,603.42,2,1,3,Hibernating
12708,30,18,4532.06,4,5,5,Champions
12709,15,32,29396.68,5,5,5,Champions
12710,97,3,1023.02,3,3,3,Loyal
12711,612,2,1213.05,1,2,4,Hibernating
12712,29,21,5847.4800000000005,4,5,5,Champions
12713,1,1,794.55,5,1,3,Promising
12714,9,12,12815.710000000001,5,5,5,Champions
12715,106,1,263.36,3,1,1,Hibernating
12716,4,2,963.49,5,2,3,Promising
12717,151,3,1058.91,3,3,3,Loyal
12718,71,1,202.25,3,1,1,Hibernating
12719,5,2,537.5500000000001,5,2,2,Promising
12720,3,28,6862.43,5,5,5,Champions
12721,32,8,3615.18,4,4,5,Champions
12722,85,3,899.0799999999999,3,3,3,Loyal
12723,4,5,707.07,5,4,3,Champions
12724,5,7,2083.52,5,4,4,Champions
12725,371,3,1906.76,2,3,4,Big spenders
12726,28,11,3690.6,4,5,5,Champions
12727,11,10,4890.53,5,5,5,Champions
12728,71,5,926.17,3,4,3,Loyal
12729,114,1,417.01,3,1,2,Hibernating
12730,522,1,703.25,1,1,3,Hibernating
12731,24,17,25540.21,4,5,5,Champions
12732,180,1,218.26000000000002,3,1,1,Hibernating
12733,234,4,2424.02,2,3,4,Big spenders
12734,353,3,603.65,2,3,3,At risk
12735,315,2,689.5699999999999,2,2,3,Hibernating
12736,333,1,144.0,2,1,1,Hibernating
12738,372,1,137.35,2,1,1,Hibernating
12739,99,2,2421.23,3,2,4,Big spenders
12740,64,1,427.6,3,1,2,Hibernating
12741,533,1,236.07,1,1,1,Hibernating
12742,626,1,1185.02,1,1,3,Hibernating
12743,134,2,540.13,3,2,2,Hibernating
12744,56,8,13158.16,4,4,5,Champions
12745,487,2,723.85,1,2,3,Hibernating
12746,541,1,254.55,1,1,1,Hibernating
12747,2,26,8866.23,5,5,5,Champions
12748,1,316,46987.28,5,5,5,Champions
12749,4,9,6710.11,5,5,5,Champions
12750,129,1,275.88,3,1,1,Hibernating
12751,445,1,268.27,1,1,1,Hibernating
12752,81,1,4366.78,3,1,5,Big spenders
12753,23,6,21327.39,4,4,5,Champions
12754,236,3,3010.74,2,3,5,Big spenders
12755,281,3,4429.45,2,3,5,Big spenders
12756,87,1,112.07999999999998,3,1,1,Hibernating
12757,16,9,4161.75,5,5,5,Champions
12758,117,7,9802.4,3,4,5,Loyal
12759,52,8,4618.74,4,4,5,Champions
12760,456,1,317.8,1,1,2,Hibernating
12761,465,1,712.95,1,1,3,Hibernating
12762,8,2,1702.52,5,2,4,Big spenders
12763,138,2,494.08,3,2,2,Hibernating
12764,317,1,1693.88,2,1,4,Big spenders
12765,472,6,1299.58,1,4,4,At risk
12766,4,9,8114.99,5,5,5,Champions
12767,376,1,949.82,2,1,3,Hibernating
12769,239,1,1143.6,2,1,3,Hibernating
12770,211,2,3042.45,2,2,5,Big spenders
12771,486,1,206.5,1,1,1,Hibernating
12772,60,1,752.47,3,1,3,Hibernating
12774,536,1,83.7,1,1,1,Hibernating
12775,17,7,1516.32,5,4,4,Champions
12776,668,1,27.5,1,1,1,Hibernating
12777,458,1,519.45,1,1,2,Hibernating
12778,20,9,1541.68,4,5,4,Champions
12779,38,14,6225.71,4,5,5,Champions
12780,599,1,322.4,1,1,2,Hibernating
12781,64,2,750.98,3,2,3,Hibernating
12782,5,10,3799.94,5,5,5,Champions
12783,2,4,1295.87,5,3,4,Loyal
12784,15,2,1511.15,5,2,4,Big spenders
12785,364,3,889.55,2,3,3,At risk
12786,610,1,668.5,1,1,3,Hibernating
12787,10,4,799.18,5,3,3,Loyal
12788,463,4,384.9,1,3,2,At risk
12789,65,3,225.35,3,3,1,Loyal
12790,192,2,526.95,2,2,2,Hibernating
12791,374,5,656.83,2,4,3,At risk
12792,257,2,715.01,2,2,3,Hibernating
12793,335,3,745.53,2,3,3,At risk
12794,53,2,860.41,4,2,3,Promising
12795,19,1,318.48,5,1,2,Promising
12796,628,1,351.0,1,1,2,Hibernating
12797,366,2,393.38,2,2,2,Hibernating
12798,10,4,8510.93,5,3,5,Loyal
12799,529,1,219.35,1,1,1,Hibernating
12800,470,2,500.25,1,2,2,Hibernating
12801,501,1,871.82,1,1,3,Hibernating
12802,187,5,2120.42,3,4,4,Loyal
12803,393,1,1017.81,2,1,3,Hibernating
12804,466,2,325.37,1,2,2,Hibernating
12805,382,4,1230.95,2,3,4,Big spenders
12806,572,2,2558.96,1,2,4,Hibernating
12807,383,1,250.35,2,1,1,Hibernating
12808,37,5,748.7,4,4,3,Champions
12809,178,3,1368.44,3,3,4,Loyal
12810,535,2,534.99,1,2,2,Hibernating
12811,262,4,893.9,2,3,3,At risk
12812,45,1,229.64000000000001,4,1,1,Promising
12813,502,3,1621.8,1,3,4,At risk
12814,102,1,85.92,3,1,1,Hibernating
12815,148,2,863.46,3,2,3,Hibernating
12816,96,2,452.20000000000005,3,2,2,Hibernating
12817,281,3,570.98,2,3,2,At risk
12818,262,1,1182.0800000000002,2,1,3,Hibernating
12819,458,1,540.52,1,1,2,Hibernating
12820,3,11,2651.24,5,5,4,Champions
12821,214,2,220.8,2,2,1,Hibernating
12822,71,2,918.98,3,2,3,Hibernating
12823,75,18,6501.5,3,5,5,Loyal
12824,60,1,397.12,3,1,2,Hibernating
12825,521,2,518.63,1,2,2,Hibernating
12826,3,12,2790.8,5,5,4,Champions
12827,6,3,430.15000000000003,5,3,2,Loyal
12828,3,6,1018.71,5,4,3,Champions
12829,337,3,385.3,2,3,2,At risk
12830,38,6,6814.64,4,4,5,Champions
12831,262,3,451.11,2,3,2,At risk
12832,32,2,383.03,4,2,2,Promising
12833,145,1,417.38,3,1,2,Hibernating
12834,283,1,312.38,2,1,2,Hibernating
12835,428,41,5986.33,1,5,5,At risk
12836,59,15,6559.7300000000005,4,5,5,Champions
12837,173,2,662.66,3,2,3,Hibernating
12838,34,10,2970.96,4,5,5,Champions
12839,3,26,9609.27,5,5,5,Champions
12840,144,7,4030.27,3,4,5,Loyal
12841,5,40,6907.67,5,5,5,Champions
12842,70,4,1917.99,3,3,4,Loyal
12843,66,28,6289.72,3,5,5,Loyal
12844,29,4,648.6,4,3,3,Loyal
12845,267,4,354.09,2,3,2,At risk
12847,22,2,1609.0,4,2,4,Big spenders
12848,676,1,208.0,1,1,1,Hibernating
12849,31,6,3015.98,4,4,5,Champions
12850,446,1,330.0,1,1,2,Hibernating
12851,97,2,280.76,3,2,1,Hibernating
12852,295,1,311.55,2,1,2,Hibernating
12853,135,11,3854.5,3,5,5,Loyal
12854,79,7,2926.12,3,4,5,Loyal
12855,373,4,612.84,2,3,3,At risk
12856,8,6,2170.78,5,4,4,Champions
12857,211,6,3688.0,2,4,5,Big spenders
12858,383,1,147.27,2,1,1,Hibernating
12859,459,1,575.1,1,1,2,Hibernating
12860,693,1,54.22,1,1,1,Hibernating
12861,620,1,68.25,1,1,1,Hibernating
12862,426,2,984.62,1,2,3,Hibernating
12863,52,6,2792.5499999999997,4,4,4,Champions
12864,138,2,299.57,3,2,2,Hibernating
12865,26,4,3303.31,4,3,5,Loyal
12866,283,3,1092.35,2,3,3,At risk
12867,26,13,7803.51,4,5,5,Champions
12868,186,8,2043.76,3,4,4,Loyal
12869,682,1,337.66999999999996,1,1,2,Hibernating
12870,375,3,1676.95,2,3,4,Big spenders
12871,84,3,744.02,3,3,3,Loyal
12872,327,12,3283.96,2,5,5,Big spenders
12873,282,3,2027.3,2,3,4,Big spenders
12874,385,2,858.42,2,2,3,Hibernating
12875,143,5,1356.99,3,4,4,Loyal
12876,58,4,3751.79,4,3,5,Loyal
12877,4,20,2942.14,5,5,5,Champions
12878,236,2,854.99,2,2,3,Hibernating
12879,45,3,573.22,4,3,2,Loyal
12880,382,2,640.13,2,2,3,Hibernating
12881,276,1,298.0,2,1,2,Hibernating
12882,9,2,1463.04,5,2,4,Big spenders
12883,25,4,703.47,4,3,3,Loyal
12884,88,1,309.05,3,1,2,Hibernating
12885,63,3,1158.27,3,3,3,Loyal
12886,68,2,1378.4,3,2,4,Big spenders
12887,384,1,222.4,2,1,1,Hibernating
12888,214,2,354.12,2,2,2,Hibernating
12889,381,4,370.61,2,3,2,At risk
12890,24,2,706.02,4,2,3,Promising
12891,186,10,819.5,3,5,3,Loyal
12892,397,1,263.38,2,1,1,Hibernating
12893,31,1,176.55,4,1,1,Promising
12894,575,1,157.35,1,1,1,Hibernating
12895,42,2,355.8,4,2,2,Promising
12897,205,4,514.25,2,3,2,At risk
12898,464,2,296.21000000000004,1,2,2,Hibernating
12899,414,1,366.4,1,1,2,Hibernating
12900,422,1,340.33,1,1,2,Hibernating
12901,9,27,17195.54,5,5,5,Champions
12902,265,1,138.68,2,1,1,Hibernating
12903,429,1,833.53,1,1,3,Hibernating
12904,18,2,496.06,5,2,2,Promising
12905,577,2,1018.42,1,2,3,Hibernating
12906,12,5,2919.81,5,4,5,Champions
12907,396,2,508.91,2,2,2,Hibernating
12908,176,4,1386.0,3,3,4,Loyal
12909,40,8,3049.79,4,4,5,Champions
12910,23,13,5747.02,4,5,5,Champions
12911,552,1,1651.72,1,1,4,Hibernating
12912,3,5,1662.3,5,4,4,Champions
12913,5,13,6283.24,5,5,5,Champions
12914,401,1,223.98,2,1,1,Hibernating
12915,149,4,907.7,3,3,3,Loyal
12916,139,7,4455.93,3,4,5,Loyal
12917,128,6,4359.2,3,4,5,Loyal
12919,8,6,1335.19,5,4,4,Champions
12920,17,4,486.64,5,3,2,Loyal
12921,9,73,34302.49,5,5,5,Champions
12922,161,1,405.38,3,1,2,Hibernating
12923,64,3,769.17,3,3,3,Loyal
12924,88,12,2457.7,3,5,4,Loyal
12925,5,3,729.3299999999999,5,3,3,Loyal
12926,411,4,1523.59,1,3,4,At risk
12927,395,1,197.31,2,1,1,Hibernating
12928,35,12,4304.89,4,5,5,Champions
12929,312,1,117.85,2,1,1,Hibernating
12930,78,2,415.8,3,2,2,Hibernating
12931,22,55,78811.4,4,5,5,Champions
12932,539,8,1698.56,1,4,4,At risk
12933,24,8,1617.68,4,4,4,Champions
12934,737,1,181.65,1,1,1,Hibernating
12935,2,15,4203.56,5,5,5,Champions
12936,17,4,1063.9,5,3,3,Loyal
12937,15,9,3097.61,5,5,5,Champions
12938,26,1,114.14,4,1,1,Promising
12939,64,20,25264.8,3,5,5,Loyal
12940,55,2,899.69,4,2,3,Promising
12941,724,1,377.49,1,1,2,Hibernating
12942,131,3,675.6,3,3,3,Loyal
12943,558,2,496.5,1,2,2,Hibernating
12944,36,2,604.51,4,2,3,Promising
12945,288,2,900.11,2,2,3,Hibernating
12946,437,1,324.45,1,1,2,Hibernating
12947,144,6,1437.14,3,4,4,Loyal
12948,16,9,2317.43,5,5,4,Champions
12949,31,22,15471.2,4,5,5,Champions
12950,2,3,1843.0,5,3,4,Loyal
12951,9,15,3184.32,5,5,5,Champions
12952,6,4,1387.79,5,3,4,Loyal
12953,10,2,828.8100000000001,5,2,3,Promising
12954,639,1,162.45,1,1,1,Hibernating
12955,1,11,4740.16,5,5,5,Champions
12956,306,4,521.89,2,3,2,At risk
12957,10,13,8706.97,5,5,5,Champions
12958,400,2,467.34,2,2,2,Hibernating
12959,484,1,150.95,1,1,1,Hibernating
12960,414,4,1322.07,1,3,4,At risk
12961,379,1,211.99,2,1,1,Hibernating
12962,7,2,266.39,5,2,1,Promising
12963,8,12,3182.69,5,5,5,Champions
12964,437,1,132.24,1,1,1,Hibernating
12965,89,1,769.8100000000001,3,1,3,Hibernating
12966,10,1,160.18,5,1,1,Promising
12967,358,3,2885.72,2,3,5,Big spenders
12968,112,1,135.95,3,1,1,Hibernating
12969,603,1,122.45,1,1,1,Hibernating
12970,7,10,1452.54,5,5,4,Champions
12971,4,115,15218.050000000001,5,5,5,Champions
12972,414,4,1161.2,1,3,3,At risk
